label,n_usuarios,total_comentarios,media,mediana,p90,p99,max,usuarios_1_comentario,pct_1_comentario
livechats_cam_x_cor_bandeirantes,4074,20869,5.122484045164457,1.0,9.0,72.0,407,2095,51.42366224840451
livechats_cam_x_cor_itatiaia,10952,65513,5.981829802775748,2.0,12.0,71.0,588,4787,43.70891161431702
livechats_cam_x_cru_itatiaia,54827,326206,5.949732795885239,2.0,11.0,73.0,1465,24507,44.69877979827457
livechats_cam_x_fla_itatiaia,22165,152202,6.86677193773968,2.0,13.0,86.36000000000058,775,9137,41.22264831942251
livechats_cam_x_flu_itatiaia,14467,92062,6.363586092486348,2.0,12.0,76.68000000000029,744,6110,42.23404990668418
livechats_cam_x_pal_bandeirantes,4821,27019,5.604438913088571,1.0,10.0,81.60000000000036,381,2438,50.57042107446588
livechats_cam_x_pal_itatiaia,18074,127686,7.064623215668917,2.0,13.0,90.0,1586,7418,41.04238132123492
livechats_cor_x_pal_bandeirantes,11900,78199,6.571344537815126,1.5,10.0,93.01000000000022,840,5950,50.0
livechats_cru_x_cor_bandeirantes,3049,19743,6.475237782879633,2.0,12.0,89.55999999999995,505,1492,48.934076746474254
livechats_cru_x_cor_itatiaia,5919,36347,6.140733231964859,2.0,12.0,74.0,327,2545,42.997127893225205
livechats_cru_x_fla_itatiaia,7680,42377,5.517838541666666,2.0,11.0,67.0,433,3506,45.651041666666664
livechats_cru_x_flu_itatiaia,7669,51936,6.772199765288825,2.0,13.0,86.0,544,3332,43.44764636849654
livechats_cru_x_pal_bandeirantes,2424,13236,5.46039603960396,2.0,10.0,79.53999999999996,244,1205,49.71122112211221
livechats_cru_x_pal_itatiaia,5064,29170,5.760268562401264,2.0,11.0,73.0,371,2330,46.011058451816744
livechats_fla_x_cam_tupi,15482,82245,5.31229815269345,2.0,9.0,63.0,1111,7624,49.244283684278514
livechats_fla_x_cor_bandeirantes,8279,45872,5.5407657929701655,2.0,9.0,77.21999999999935,504,4103,49.55912549824858
livechats_fla_x_cor_tupi,11541,71016,6.153366259422927,1.0,10.0,86.0,1820,5790,50.1689628281778
livechats_fla_x_cru_tupi,8432,39129,4.64053605313093,1.0,8.0,58.69000000000051,574,4401,52.19402277039848
livechats_fla_x_flu_tupi,20247,125264,6.186793105151381,2.0,10.0,80.54000000000087,2726,9831,48.55534153207883
livechats_fla_x_pal_bandeirantes,4545,25160,5.5357535753575355,1.0,10.0,78.0,670,2316,50.95709570957096
livechats_fla_x_pal_tupi,12206,62481,5.118875962641324,1.0,9.0,66.0,1416,6195,50.753727674913975
livechats_flu_x_cam_tupi,4032,23180,5.749007936507937,2.0,10.0,74.69000000000005,712,1983,49.18154761904761
livechats_flu_x_cor_bandeirantes,4086,24641,6.030592266275086,2.0,11.0,81.15000000000009,408,2031,49.706314243759174
livechats_flu_x_cor_tupi,5096,35428,6.952119309262167,2.0,11.0,93.0,1022,2359,46.291208791208796
livechats_flu_x_cru_tupi,2610,17741,6.7973180076628354,2.0,12.0,96.72999999999956,570,1227,47.01149425287356
livechats_flu_x_pal_bandeirantes,2607,14872,5.70464135021097,1.0,11.0,80.88000000000011,208,1315,50.441120061373226
livechats_flu_x_pal_tupi,4210,23480,5.577197149643705,2.0,10.0,69.90999999999985,534,2037,48.38479809976247
